source_header,question,answer
Coming soon,What is the purpose of the Quality Manual policy page at the University of Nottingham?,"The Quality Manual policy page serves as a record of the University's incoming policies and amendments to current policies. While it is primarily directed at staff, it may also be of interest to students across the UK, China, and Malaysia campuses."
Coming soon,Are there any new updates planned for the Quality Manual in the near future?,"As of now, there are no approved future updates to the Quality Manual. However, ongoing projects and reviews may lead to changes for the 2025/2026 academic year, and information will be published on the page once confirmed."
Coming soon,Who should I contact if I have questions about the Quality Manual policies at the University of Nottingham?,"For questions related to the Quality Manual policies, students at the UK campus should contact Student Services, students at the China campus can email Academic-Service-Office@nottingham.edu.cn, students at the Malaysia campus can email student_registry@nottingham.edu.my, and staff can reach out to Quality-Manual-Enquiries@nottingham.ac.uk."
Contingency classification and progression regulations,How do the contingency regulations at the University of Nottingham affect student progression during disruptions like a global pandemic?,"The contingency regulations allow the University of Nottingham to use a combination of Actual Marks, Part For Whole Marks, and Derived Marks to assess student progression when normal operations are disrupted, such as during a global pandemic. These measures ensure that students can still progress in their programs despite incomplete assessments or marking. The regulations are applied when authorized by the Senate and aim to deliver learning outcomes while maintaining flexibility in evaluating student performance."
Contingency classification and progression regulations,What options do students have if they receive a Part For Whole Mark or a Derived Mark due to disrupted assessments?,"Students who receive a Part For Whole Mark or a Derived Mark have the choice to either accept the progression or classification decision with the associated marks or reject them. If they accept, unmarked assessments will not be marked later, and no Equivalent Sit opportunities will be offered. If they reject, they will have to wait for Actual Marks to be obtained through marking of original assessments or be offered an Equivalent Sit if the original assessment won't be marked. This decision must be made within a designated decision period, and non-response is considered acceptance by default."
Contingency classification and progression regulations,How are Extenuating Circumstances handled under the contingency regulations for students who have pending assessments?,"For students with upheld Extenuating Circumstances affecting pending assessments, the University records a zero for those assessments until they are submitted. If the zero impacts the calculation of Derived Marks, this could lower the mark, influencing progression or classification decisions. The zero mark can be excluded from calculations if the non-Extenuating Circumstances assessments meet certain criteria, like being worth at least 40% of the module. Students must consider these implications carefully when deciding whether to accept the contingency regulations or wait for Actual Marks."
Exceptional classification and progression regulations,"What are the exceptional regulations mentioned in the University of Nottingham document, and which campuses do they apply to?","The exceptional regulations are specific guidelines for classification and progression developed in May/June 2021/22. They apply to staff and students across all campuses of the University of Nottingham, including the UK, China, and Malaysia locations."
Exceptional classification and progression regulations,How does the University of Nottingham suggest calculating a derived mark for undergraduate progression and classification?,"The university provides guidance on calculating a derived mark in specific documents linked to the exceptional progression and classification regulations for undergraduates. These documents are titled ""Exceptional progression regulations"" and ""How to calculate a derived mark."""
Exceptional classification and progression regulations,Who should students contact if they have questions about the exceptional regulations at the University of Nottingham?,"Students should contact different services based on their campus. UK students can reach out to Student Services, China campus students should email Academic-Service-Office@nottingham.edu.cn, Malaysia campus students can contact student_registry@nottingham.edu.my, and staff inquiries should be directed to Quality-Manual-Enquiries@nottingham.ac.uk."
Exceptional regulations: Covid-19,What are the exceptional regulations related to Covid-19 at the University of Nottingham?,"The University of Nottingham has developed exceptional regulations in response to the coronavirus pandemic. These regulations are specific to each of their campuses: the UK, Ningbo China, and Malaysia."
Exceptional regulations: Covid-19,Who should I contact if I have questions about the Covid-19 regulations at the University of Nottingham Ningbo China?,"If you have questions about the Covid-19 regulations at the University of Nottingham Ningbo China, you should contact the Academic Service Office at Academic-Service-Office@nottingham.edu.cn."
Exceptional regulations: Covid-19,When was the policy content regarding Covid-19 exceptional regulations last updated at the University of Nottingham?,The policy content regarding Covid-19 exceptional regulations at the University of Nottingham was last modified on 12 April 2022.
Changes in 2024,What updates were made to the Extenuating Circumstances Regulations in 2024?,"In 2024, several updates were made to the Extenuating Circumstances Regulations. These included re-introducing first sit outcomes for coursework reassessment, clarifying wording related to Postgraduate Research progression reviews, re-numbering the Recommendations of Outcomes section, and expanding self-certification for exams to include assessments held within term time. Additionally, a format change was made to Section 4 to make it easier to access, though this did not involve any material change to the policy."
Changes in 2024,How has the policy on marking and grading changed in 2024 at the University of Nottingham?,"In 2024, a significant change was approved for coursework marking at the University of Nottingham, where anonymous marking is now required where possible and appropriate. This change is part of the ongoing effort to enhance fairness and objectivity in the grading process."
Changes in 2024,What is the Periodic Assurance and Continuous Enhancement Review (PACER) introduced in the 2024/25 academic year?,"The Periodic Assurance and Continuous Enhancement Review (PACER) is a new process introduced in the 2024/25 academic year, replacing the University’s previous Educational Enhancement and Assurance Review process. PACER aims to provide a structured approach to ensuring educational quality and continuous improvement, with supporting templates and timelines available for implementation."
Exceptional Regulations: Covid-19 - UNUK,What is the purpose of the exceptional regulations mentioned in the University of Nottingham's policy document?,The exceptional regulations were developed in response to the coronavirus pandemic to address specific needs during that time. They were intended for the University of Nottingham UK (UNUK) staff and students and were designed to be used alongside existing regulations within the Quality Manual.
Exceptional Regulations: Covid-19 - UNUK,Are the Covid-19 exceptional regulations still in effect at the University of Nottingham UK?,"As of the academic year 2021/22, the active application of most Covid-19 exceptional regulations at the University of Nottingham UK has ceased, except for those concerning Admissions. These specific Admissions regulations will remain in effect until 30 September 2022."
Exceptional Regulations: Covid-19 - UNUK,"If a student has questions about the exceptional regulations, whom should they contact?","Students at the University of Nottingham UK should contact Student Services. Students from the University of Nottingham Ningbo China (UNNC) should email Academic-Service-Office@nottingham.edu.cn, and those from the University of Nottingham Malaysia (UNM) should email student_registry@nottingham.edu.my. Staff inquiries should be directed to Quality-Manual-Enquiries@nottingham.ac.uk."
Exceptional Regulations: Covid-19 - UNNC,"What are the exceptional regulations mentioned on the UNNC policy page, and who do they apply to?",The exceptional regulations were developed in response to the Covid-19 pandemic and apply specifically to staff and students at the University of Nottingham Ningbo China (UNNC). These regulations were introduced during the 2019/20 academic year and were intended to adapt to the challenges posed by the pandemic.
Exceptional Regulations: Covid-19 - UNNC,Are the Covid-19 exceptional regulations still active at the University of Nottingham Ningbo China?,"No, the active application of the Covid-19 exceptional regulations at UNNC ceased at the beginning of the 2021/22 academic year. However, any outcomes from these regulations during the 2019/20 and 2020/21 academic years will still be honored in future decisions affecting those who were impacted."
Exceptional Regulations: Covid-19 - UNNC,Who should I contact if I have questions about the Covid-19 exceptional regulations at UNNC?,"If you have questions or problems related to the Covid-19 exceptional regulations at UNNC, you should contact the Academic Service Office at Academic-Service-Office@nottingham.edu.cn. If you are a staff member, you can reach out to Quality-Manual-Enquiries@nottingham.ac.uk for assistance."
Exceptional Regulations: Covid-19 - UNM,What are the current Covid-19 exceptional regulations in effect at the University of Nottingham Malaysia?,"As of the academic year 2021/22, most of the Covid-19 exceptional regulations at the University of Nottingham Malaysia have ceased, except for those concerning extenuating circumstances. These particular regulations will remain active until further notice."
Exceptional Regulations: Covid-19 - UNM,How can a student find more information about the exceptional regulations that were in place during the 2019/20 and 2020/21 academic years?,"Students can consult the ""Exceptional Regulations: Covid-19 - UNM - 2019/20 to 2020/21"" section for detailed information on the regulations that were in place during those academic years."
Exceptional Regulations: Covid-19 - UNM,Who should UNM students contact if they have questions about the exceptional regulations or related procedures?,UNM students with queries should contact the Student Registry at student_registry@nottingham.edu.my for assistance regarding exceptional regulations or related procedures.
Extenuating circumstances regulation,What should I do if I have an unexpected illness that prevents me from attending an exam at the University of Nottingham?,"If you're unexpectedly unable to attend an exam due to an acute illness such as a migraine or sickness, you can use self-certification, provided you're unable to obtain medical evidence. Self-certification is only applicable for individual, summative, in-person exams and is limited to a maximum of two consecutive calendar days within an exam period. You'll need to submit an extenuating circumstances claim form. Keep in mind that this is only available for exams taken at the UK campus, not at the China or Malaysia campuses. If the self-certification is accepted, you'll be allowed a further attempt at the exam during the next scheduled period, typically the August/September re-sit period."
Extenuating circumstances regulation,"I have a family emergency, and my close family member is seriously ill. Can this be considered an extenuating circumstance at the University of Nottingham, and what kind of evidence do I need to provide?","Yes, a serious illness of a close family member can be considered an extenuating circumstance at the University of Nottingham. You need to provide evidence of the family illness, such as a medical certificate or letter from a medical professional confirming the nature and severity of the illness. The claim should clearly explain your relationship with the family member and how it impacts your ability to study. If the situation extends over more than one semester and is ongoing, you should discuss it with your School/Department and submit an extenuating circumstances form each semester."
Extenuating circumstances regulation,"If I experience technical issues during an online exam, what steps should I take to ensure it's considered an extenuating circumstance?","If you face technical issues during an online (e-exam), you should document the problem by taking screenshots that show the timing and duration of the issue. If possible, obtain a statement from your internet provider about any disrupted service. These pieces of evidence are crucial for making an extenuating circumstances claim. You'll need to submit this evidence along with your claim to demonstrate that the technical failure had a significant impact on your ability to complete the exam. Keep in mind that loss or corruption of files is not considered an acceptable extenuating circumstance, so ensure your work is backed up regularly."
School Examinations Officer role,What are the key responsibilities of a School Examinations Officer at the University of Nottingham?,"A School Examinations Officer at the University of Nottingham coordinates the production of examination papers, liaises with External Examiners, and ensures scheduling information is provided for exam timetables. They also manage marks processing, facilitate Exam Boards, and handle decisions on certificates, diplomas, and academic progressions. Additionally, they ensure that alternative exam arrangements are in place for students who need them."
School Examinations Officer role,How does the School Examinations Officer work with the University’s Disability Support Service for students requiring alternative exam arrangements?,"The School Examinations Officer liaises with the University’s Examinations Office to address the needs of students requiring alternative exam arrangements. This involves following a formal procedure where the student's needs are assessed by the University’s Disability Support Service. It is essential that all assessments are completed before the deadline, allowing these arrangements to be implemented ahead of the exam period."
School Examinations Officer role,What was the impact of the Covid-19 pandemic on the examination procedures at the University of Nottingham?,"During the 2019/20 academic year, the University of Nottingham introduced exceptional regulations in response to the Covid-19 pandemic. These regulations affected examination procedures, and details about these changes were documented on the relevant policy pages. For more information, you can refer to the ""Exceptional regulations applied in response to Covid-19"" section mentioned in the policy document."
Policy on marking and grading,"How does the University of Nottingham ensure fairness in the assessment process across its campuses in the UK, China, and Malaysia?","The University of Nottingham ensures fairness in the assessment process by implementing a comprehensive quality assurance framework. This includes pre-assessment activities such as guidance for students and markers, scrutiny by internal or external examiners, and the calibration of standards among markers. During the assessment, measures like invigilation and appropriate adjustments for students with support plans are in place. The marking process involves clear standards, anonymity, and double marking where appropriate. Internal moderation checks the consistent application of standards, and any necessary marks adjustments are made to maintain fairness. External examiners also scrutinize the process to ensure that it aligns with subject benchmarks and institutional standards."
